_id,type,model
ObjectId(66d1cbd01abad804976748fe),smart phone,platina
ObjectId(66d1cbd01abad804976748ff),smart phone,xm23
ObjectId(66d1cbd01abad80497674900),smart phone,bn20
ObjectId(66d1cbd01abad80497674901),smart phone,pk2
ObjectId(66d1cbd01abad80497674902),smart phone,pk2
ObjectId(66d1cbd01abad80497674903),smart phone,bn20
ObjectId(66d1cbd01abad80497674904),smart phone,pk2
ObjectId(66d1cbd01abad80497674905),smart phone,c3
ObjectId(66d1cbd01abad80497674906),smart phone,c12
ObjectId(66d1cbd01abad80497674907),smart phone,c12
ObjectId(66d1cbd01abad80497674908),smart phone,k9
ObjectId(66d1cbd01abad80497674909),smart phone,c3
ObjectId(66d1cbd01abad8049767490a),smart phone,cz
ObjectId(66d1cbd01abad8049767490b),smart phone,cz
ObjectId(66d1cbd01abad8049767490c),laptop,qw2
ObjectId(66d1cbd01abad8049767490d),smart phone,cz
ObjectId(66d1cbd01abad8049767490e),laptop,qw2
ObjectId(66d1cbd01abad8049767490f),laptop,k12
ObjectId(66d1cbd01abad80497674910),laptop,ay9
ObjectId(66d1cbd01abad80497674911),smart phone,c12
ObjectId(66d1cbd01abad80497674912),smart phone,xm23
ObjectId(66d1cbd01abad80497674913),smart phone,platina
ObjectId(66d1cbd01abad80497674914),smart phone,k9
ObjectId(66d1cbd01abad80497674915),smart phone,c3
ObjectId(66d1cbd01abad80497674916),smart phone,k9
ObjectId(66d1cbd01abad80497674917),smart phone,bn20
ObjectId(66d1cbd01abad80497674918),smart phone,platina
ObjectId(66d1cbd01abad80497674919),smart phone,xm23
ObjectId(66d1cbd01abad8049767491a),laptop,c6
ObjectId(66d1cbd01abad8049767491b),laptop,zeta
ObjectId(66d1cbd01abad8049767491c),laptop,zeta
ObjectId(66d1cbd01abad8049767491d),laptop,jl3
ObjectId(66d1cbd01abad8049767491e),laptop,ki2
ObjectId(66d1cbd01abad8049767491f),laptop,zeta
ObjectId(66d1cbd01abad80497674920),laptop,k12
